Concept,Target Class,Target Index,Layer,TCAV Score,Positive Count,Total Count,Max Rank Score,Min Rank Score,Avg Rank Score
feathers,tench,0,layer4,0.0000,0,1300,0.0127,-0.2502,-0.1398
feathers,great_white_shark,2,layer4,0.0000,0,1300,0.0371,-0.2298,-0.1271
feathers,hammerhead,4,layer4,0.0000,0,1300,0.0265,-0.2270,-0.1337
feathers,goldfinch,11,layer4,1.0000,1300,1300,0.0587,-0.1787,-0.0818
feathers,axolotl,29,layer4,0.0000,0,1300,-0.0332,-0.2651,-0.1558
feathers,leatherback_turtle,34,layer4,0.0000,0,1300,0.0058,-0.2777,-0.1654
feathers,agama,42,layer4,0.0000,0,1300,-0.0099,-0.2848,-0.1463
feathers,Komodo_dragon,48,layer4,0.0000,0,1300,-0.0159,-0.2452,-0.1418
feathers,green_mamba,64,layer4,0.0000,0,1300,0.0301,-0.2544,-0.1357
feathers,wolf_spider,77,layer4,0.0000,0,1300,0.0025,-0.2742,-0.1561
feathers,black_grouse,80,layer4,1.0000,1300,1300,0.0634,-0.1970,-0.0794
feathers,macaw,88,layer4,1.0000,1300,1300,0.1517,-0.1633,-0.0117
feathers,lorikeet,90,layer4,1.0000,1300,1300,0.0983,-0.1577,-0.0355
feathers,coucal,91,layer4,1.0000,1300,1300,0.0599,-0.1899,-0.0667
feathers,hummingbird,94,layer4,1.0000,1300,1300,0.0356,-0.2246,-0.0887
feathers,sea_anemone,108,layer4,1.0000,1300,1300,0.1289,-0.2094,-0.0521
feathers,flatworm,110,layer4,0.0000,0,1300,0.0431,-0.2529,-0.1443
feathers,nematode,111,layer4,0.0000,0,1300,0.0692,-0.2667,-0.1083
feathers,sea_slug,115,layer4,0.0000,0,1300,0.0457,-0.2521,-0.1482
feathers,rock_crab,119,layer4,0.0000,0,1300,-0.0032,-0.2926,-0.1787
feathers,spiny_lobster,123,layer4,0.0000,0,1300,-0.0036,-0.2496,-0.1594
feathers,flamingo,130,layer4,1.0000,1300,1300,0.1378,-0.1772,-0.0522
feathers,crane,134,layer4,1.0000,1300,1300,0.1007,-0.1703,-0.0443
feathers,bustard,138,layer4,1.0000,1300,1300,0.0543,-0.2045,-0.0897
feathers,oystercatcher,143,layer4,1.0000,1300,1300,0.0589,-0.1734,-0.0664
feathers,goldfish,1,layer4,0.0000,0,1300,0.0245,-0.2468,-0.1106
