Concept,Target Class,Target Index,Layer,TCAV Score,Positive Count,Total Count,Max Rank Score,Min Rank Score,Avg Rank Score
feathers,tench,0,layer4,0.0000,0,1300,3.2664,-101.5723,-43.6277
feathers,great_white_shark,2,layer4,0.0000,0,1300,7.8300,-71.7779,-37.2927
feathers,hammerhead,4,layer4,0.0000,0,1300,6.8564,-69.3466,-36.5188
feathers,goldfinch,11,layer4,1.0000,1300,1300,17.6058,-57.3183,-22.2344
feathers,axolotl,29,layer4,0.0000,0,1300,-8.4052,-85.0914,-46.4384
feathers,leatherback_turtle,34,layer4,0.0000,0,1300,2.1928,-87.3832,-47.4236
feathers,agama,42,layer4,0.0000,0,1300,-2.9464,-91.8215,-42.6879
feathers,Komodo_dragon,48,layer4,0.0000,0,1300,-5.1589,-89.9474,-42.3017
feathers,green_mamba,64,layer4,0.0000,0,1300,8.8574,-79.4207,-37.3821
feathers,wolf_spider,77,layer4,0.0000,0,1300,0.6571,-89.9864,-44.4408
feathers,black_grouse,80,layer4,1.0000,1300,1300,16.5884,-65.7437,-22.9910
feathers,macaw,88,layer4,1.0000,1300,1300,38.7285,-48.8583,-3.2599
feathers,lorikeet,90,layer4,1.0000,1300,1300,31.5897,-45.8530,-9.9023
feathers,coucal,91,layer4,1.0000,1300,1300,16.1047,-59.6906,-19.3538
feathers,hummingbird,94,layer4,1.0000,1300,1300,11.5328,-63.4103,-26.3210
feathers,sea_anemone,108,layer4,1.0000,1300,1300,28.8940,-61.3804,-13.4989
feathers,flatworm,110,layer4,0.0000,0,1300,12.3983,-81.5269,-40.1726
feathers,nematode,111,layer4,0.0000,0,1300,15.4163,-80.8728,-27.5333
feathers,sea_slug,115,layer4,0.0000,0,1300,10.2517,-73.6829,-40.8887
feathers,rock_crab,119,layer4,0.0000,0,1300,-1.1190,-96.1604,-50.8153
feathers,spiny_lobster,123,layer4,0.0000,0,1300,-0.9470,-83.9323,-46.6124
feathers,flamingo,130,layer4,1.0000,1300,1300,42.4190,-57.5132,-15.7563
feathers,crane,134,layer4,1.0000,1300,1300,30.9866,-54.7089,-12.7560
feathers,bustard,138,layer4,1.0000,1300,1300,20.4827,-64.6931,-26.1173
feathers,oystercatcher,143,layer4,1.0000,1300,1300,19.7229,-54.9727,-17.7403
feathers,goldfish,1,layer4,0.0000,0,1300,7.3098,-78.5219,-32.5678
feathers,cock,7,layer4,1.0000,1300,1300,41.0034,-52.5116,-7.7405
feathers,hen,8,layer4,1.0000,1300,1300,22.8193,-51.7937,-11.6705
feathers,indigo_bunting,14,layer4,1.0000,1300,1300,27.0112,-53.3292,-16.5042
feathers,chickadee,19,layer4,1.0000,1300,1300,11.8912,-58.4768,-23.2306
feathers,kite,21,layer4,1.0000,1300,1300,32.9057,-64.0733,-12.2118
feathers,common_iguana,39,layer4,0.0000,0,1300,2.9500,-85.6733,-38.8334
feathers,American_alligator,50,layer4,0.0000,0,1300,2.6277,-82.6854,-47.0165
